Collated Components:,,,,
Item,Qty,Reference(s),Value,Footprint
1,1,ArduinoNano1,Arduino_Nano_v2.x,Module:Arduino_Nano
2,1,C1,47uF,Capacitor_SMD:CP_Elec_6.3x5.2
3,1,C2,100nF,Capacitor_SMD:C_1206_3216Metric
4,5,"D1, D2, D3, D8, D9",LED,Device_1_project_footprints:lm281B-3000K
5,4,"D4, D5, D6, D7",LED,Device_1_project_footprints:lm281B-6500K
6,1,J1,Conn_01x04_Female,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical
7,1,J2,Conn_01x04_Female,Device_1_project_footprints:output_vias
8,2,"R1, R3",10k-PU,Resistor_SMD:R_1206_3216Metric
9,1,R2,10k-PD,Resistor_SMD:R_1206_3216Metric
10,1,R4,20k-PD,Resistor_SMD:R_1206_3216Metric
11,1,R5,120,Resistor_SMD:R_1206_3216Metric
12,1,R6,20k-PU,Resistor_SMD:R_1206_3216Metric
13,12,"R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18",3.3k,Resistor_SMD:R_1206_3216Metric
14,1,U1,EBYTE_E32-433T20D,Device_1_project_footprints:EBYTE-E32-433T20D
15,1,U2,MAX487E,Package_DIP:DIP-8_W7.62mm
,,,,
